"","ensembl_gene_id","hgnc_symbol"
"175","ENSG00000227775",""
"176","ENSG00000215790","SLC35E2A"
"177","ENSG00000008130","NADK"
"178","ENSG00000078369","GNB1"
"179","ENSG00000231050",""
"180","ENSG00000169885","CALML6"
"181","ENSG00000178821","TMEM52"
"182","ENSG00000142609","CFAP74"
"183","ENSG00000233542",""
"184","ENSG00000187730","GABRD"
"185","ENSG00000226969",""
"186","ENSG00000067606","PRKCZ"
"187","ENSG00000271806",""
"188","ENSG00000182873","PRKCZ-AS1"
"189","ENSG00000162585","FAAP20"
"190","ENSG00000234396",""
"191","ENSG00000157933","SKI"
"192","ENSG00000287356",""
"193","ENSG00000116151","MORN1"
"194","ENSG00000272161",""
"195","ENSG00000269896",""
"196","ENSG00000272420",""
"197","ENSG00000157916","RER1"
"198","ENSG00000157911","PEX10"
"199","ENSG00000149527","PLCH2"
"200","ENSG00000224387",""
"201","ENSG00000229393",""
"202","ENSG00000157881","PANK4"
"203","ENSG00000197921","HES5"
"204","ENSG00000272449",""
"205","ENSG00000238164","TNFRSF14-AS1"
"206","ENSG00000157873","TNFRSF14"
"207","ENSG00000225931",""
"208","ENSG00000228037",""
"209","ENSG00000157870","PRXL2B"
"210","ENSG00000142606","MMEL1"
"211","ENSG00000237058","MMEL1-AS1"
"212","ENSG00000215912","TTC34"
"213","ENSG00000285945",""
"214","ENSG00000283259",""
"215","ENSG00000233234",""
"216","ENSG00000287396",""
"217","ENSG00000231630",""
"218","ENSG00000284745",""
"219","ENSG00000169717","ACTRT2"
"220","ENSG00000177133","PRDM16-DT"
"221","ENSG00000142611","PRDM16"
"222","ENSG00000283572","MIR4251"
"223","ENSG00000226286",""
"224","ENSG00000279839",""
"225","ENSG00000272235",""
"226","ENSG00000287828",""
"227","ENSG00000286518",""
"228","ENSG00000130762","ARHGEF16"
"229","ENSG00000272088",""
"230","ENSG00000162591","MEGF6"
"231","ENSG00000207776","MIR551A"
"232","ENSG00000238260",""
"233","ENSG00000158109","TPRG1L"
"234","ENSG00000116213","WRAP73"
"235","ENSG00000078900","TP73"
"236","ENSG00000227589",""
"237","ENSG00000235131","TP73-AS2"
"238","ENSG00000227372","TP73-AS1"
"239","ENSG00000276189",""
"240","ENSG00000162592","CCDC27"
"241","ENSG00000235169","SMIM1"
"242","ENSG00000130764","LRRC47"
"243","ENSG00000266075","RN7SL574P"
"244","ENSG00000272153",""
"245","ENSG00000116198","CEP104"
"246","ENSG00000169598","DFFB"
"247","ENSG00000198912","C1orf174"
"248","ENSG00000236423","LINC01134"
"249","ENSG00000233304","LINC01346"
"250","ENSG00000226374","LINC01345"
"251","ENSG00000284668","LINC02780"
"252","ENSG00000284703",""
"253","ENSG00000229280","EEF1DP6"
"254","ENSG00000235054","LINC01777"
"255","ENSG00000284694",""
"256","ENSG00000227169",""
"257","ENSG00000232596","LINC01646"
"258","ENSG00000196581","AJAP1"
"259","ENSG00000287586",""
"260","ENSG00000284739",""
"261","ENSG00000284674","LINC02781"
"262","ENSG00000231510","LINC02782"
"263","ENSG00000284616",""
"264","ENSG00000284692",""
"265","ENSG00000284666",""
"266","ENSG00000260972",""
"267","ENSG00000283356",""
"268","ENSG00000236948",""
"269","ENSG00000264341",""
"270","ENSG00000264101","MIR4689"
"271","ENSG00000131697","NPHP4"
"272","ENSG00000069424","KCNAB2"
"273","ENSG00000116254","CHD5"
"274","ENSG00000285629",""
"275","ENSG00000116251","RPL22"
"276","ENSG00000226944","RNF207-AS1"
"277","ENSG00000158286","RNF207"
"278","ENSG00000116237","ICMT"
"279","ENSG00000225077","LINC00337"
"280","ENSG00000173673","HES3"
"281","ENSG00000158292","GPR153"
"282","ENSG00000097021","ACOT7"
"283","ENSG00000271746",""
"284","ENSG00000069812","HES2"
"285","ENSG00000187017","ESPN"
"286","ENSG00000265392","MIR4252"
"287","ENSG00000231868",""
"288","ENSG00000215788","TNFRSF25"
"289","ENSG00000171680","PLEKHG5"
"290","ENSG00000162408","NOL9"
"291","ENSG00000253022","RNU6-731P"
"292","ENSG00000229519",""
"293","ENSG00000173662","TAS1R1"
"294","ENSG00000204859","ZBTB48"
"295","ENSG00000162413","KLHL21"
"296","ENSG00000116273","PHF13"
"297","ENSG00000041988","THAP3"
"298","ENSG00000007923","DNAJC11"
"299","ENSG00000228750","LINC01672"
"300","ENSG00000284744",""
"301","ENSG00000237436","CAMTA1-DT"
"302","ENSG00000171735","CAMTA1"
"303","ENSG00000227950",""
"304","ENSG00000237365",""
