"ensembl_gene_id","hgnc_symbol","logFC","logCPM","LR","PValue","FDR","de_expression"
"ENSG00000186493","C5orf38",5.00449856671871,3.27880840204334,74.191331144821,7.09009692074564e-18,1.19943169608254e-13,1
"ENSG00000181577","C6orf223",2.31724658369572,4.56529274047843,59.0977732938664,1.50028922096003e-14,1.26901963754904e-10,1
"ENSG00000170423","KRT78",-2.41473772080861,4.03727710661484,54.2982956258044,1.72251159782846e-13,9.71324290015468e-10,-1
"ENSG00000176907","TCIM",3.16650859322614,4.55875514192846,48.8607774817202,2.74791310434537e-12,1.16216114965527e-08,1
"ENSG00000168961","LGALS9",-1.75599828088088,4.54395378593039,44.2254987825873,2.92644370623141e-11,9.90132963566336e-08,-1
"ENSG00000185986","SDHAP3",4.5942526571462,3.12041355816144,37.0118005155044,1.17416480286976e-09,3.3105576616913e-06,1
"ENSG00000267696","ERVK-28",2.90185209917675,2.41915462088407,36.3167053456239,1.67720070983291e-09,4.05331491546333e-06,1
"ENSG00000108602","ALDH3A1",-3.45360926103836,-0.449337083142854,35.726840169498,2.27014724419164e-09,4.80051011624875e-06,-1
"ENSG00000185532","PRKG1",-2.48000924574245,1.04747528098507,34.3768339980019,4.54096171641809e-09,8.53549437296053e-06,-1
"ENSG00000172889","EGFL7",3.13348036098075,1.88038242996734,33.6444779168948,6.61624355312039e-09,1.11926992188138e-05,1
"ENSG00000101194","SLC17A9",3.59569953047531,2.02945737636822,32.9507493700045,9.45233050740797e-09,1.45368250176201e-05,1
"ENSG00000012660","ELOVL5",6.01486340858661,3.90477753320017,31.4145459238483,2.08413668219845e-08,2.71210309636547e-05,1
"ENSG00000172137","CALB2",-1.84216670307238,3.05422040964142,31.4838030986163,2.01110826613215e-08,2.71210309636547e-05,-1
"ENSG00000170085","SIMC1",4.79719972984147,1.73653608607711,30.8967531262617,2.72126671990772e-08,3.28826207861992e-05,1
"ENSG00000143845","ETNK2",3.81801837674383,4.73304236145193,25.5315378428758,4.35210529729445e-07,0.000490830435428868,1
"ENSG00000136098","NEK3",2.13862340138875,1.85213790901453,24.3496977083598,8.03393505901906e-07,0.000823666817284666,1
"ENSG00000184545","DUSP8",1.94185698564825,3.76225580685441,24.2675616279775,8.38391658678602e-07,0.000823666817284666,1
"ENSG00000204219","TCEA3",1.31107988337341,3.68376996353542,24.1821751427669,8.76396684466749e-07,0.000823666817284666,1
"ENSG00000101955","SRPX",-2.93528345734039,-0.256885379205684,23.4537962814229,1.27949989030902e-06,0.00113922629707146,-1
"ENSG00000160180","TFF3",3.78434587936282,1.78197077173009,23.1759560728218,1.47834211481901e-06,0.00125045567781966,1
"ENSG00000159753","CARMIL2",3.4390920886206,2.63543009025996,22.9711227845644,1.64453230225124e-06,0.00132478823605639,1
"ENSG00000125848","FLRT3",5.25755068527188,4.50891530137081,22.7007196825614,1.8929695838895e-06,0.00145560756593903,1
"ENSG00000114374","USP9Y",5.53761591752899,0.167775840256161,22.4322555742336,2.17687298718906e-06,0.0014994897086354,1
"ENSG00000118160","SLC8A2",4.06588965380852,-0.498448611294348,22.2520679862687,2.39101133788826e-06,0.0014994897086354,1
"ENSG00000133619","KRBA1",-1.6603335676501,2.52947170262325,22.3527386216451,2.26889270505306e-06,0.0014994897086354,-1
"ENSG00000185567","AHNAK2",1.06296463354157,8.25252693618181,22.4296380417021,2.17984164522636e-06,0.0014994897086354,1
"ENSG00000198816","ZNF358",3.2998143613364,1.5878090951746,22.1804629306244,2.48186509675422e-06,0.0014994897086354,1
"ENSG00000260549","MT1L",5.33022632068599,-0.0773023518138353,22.1807861847102,2.48144726082805e-06,0.0014994897086354,1
"ENSG00000120913","PDLIM2",-1.48050107285418,2.70053087538142,21.8793880319689,2.90335804291017e-06,0.00169365889696246,-1
"ENSG00000128165","ADM2",0.964115567158695,6.85900203258283,21.6255218955277,3.3141247976085e-06,0.00186883497337143,1
"ENSG00000140107","SLC25A47",4.18263277377381,0.814904300262766,21.4453886904621,3.64050475064115e-06,0.00192457558958113,1
"ENSG00000166736","HTR3A",3.63310898055756,3.04186855929955,21.4833527103094,3.56913708835894e-06,0.00192457558958113,1
"ENSG00000092607","TBX15",3.84640748810538,1.52027030649969,21.3603802865478,3.80554672831711e-06,0.00195086163645274,1
"ENSG00000090238","YPEL3",1.45349448454632,6.03388682214138,21.2274591258146,4.07878934305693e-06,0.00202943762695571,1
"ENSG00000167083","GNGT2",-3.0670190124372,-0.421436306797921,20.9776403415243,4.64674991727004e-06,0.00224597338144164,-1
"ENSG00000100889","PCK2",1.19687776485572,7.37274420227303,20.7932724648206,5.11623699736125e-06,0.00240420503567667,1
"ENSG00000162496","DHRS3",1.10497392255489,7.09327356234595,20.6637179149727,5.47435577420044e-06,0.00250296423330132,1
"ENSG00000124731","TREM1",1.66252821946426,5.68795603360002,20.2415552500486,6.82540806696103e-06,0.00303856390180999,1
"ENSG00000237807","",-1.9167992051696,1.16775496167994,19.8643999323388,8.31341300731815e-06,0.00360610276525131,-1
"ENSG00000145990","GFOD1",1.95313024544359,1.81253229710987,19.3952736908205,1.06269732340688e-05,0.00438479283416445,1
"ENSG00000177508","IRX3",2.9544287220796,2.27261085696225,19.4159955163794,1.05122909590987e-05,0.00438479283416445,1
"ENSG00000205420","KRT6A",4.83889260829248,9.07640913532687,19.2735698812386,1.13263428683912e-05,0.00456208910248985,1
"ENSG00000072858","SIDT1",2.07485504323809,2.06350753196029,18.5075126931937,1.69235899515265e-05,0.00636214158244385,1
