"ensembl_gene_id","hgnc_symbol","logFC","logCPM","LR","PValue","FDR","de_expression"
"ENSG00000170423","KRT78",3.1332043164108,4.03727710661484,81.5547157525522,1.704758888925e-19,2.88394061239442e-15,1
"ENSG00000176907","TCIM",-3.76436768969807,4.55875514192846,66.6144099536994,3.3016374387484e-16,2.79269002756533e-12,-1
"ENSG00000108821","COL1A1",1.76116558704605,6.82987643522099,56.2760272591736,6.29786208378398e-14,3.55136442904579e-10,1
"ENSG00000161798","AQP5",4.53618682747765,2.33277211012148,52.4859923664817,4.33328084554182e-13,1.83265280160077e-09,1
"ENSG00000184545","DUSP8",-2.82583368192852,3.76225580685441,49.4240041162064,2.06206997924884e-12,6.97680756779052e-09,-1
"ENSG00000168961","LGALS9",1.8324119272542,4.54395378593039,46.3097047915057,1.00962642148472e-11,2.13498127153213e-08,1
"ENSG00000186493","C5orf38",-4.08503057379881,3.27880840204334,46.7968336141463,7.87405285911925e-12,2.13498127153213e-08,-1
"ENSG00000267696","ERVK-28",-3.31282010505402,2.41915462088407,46.5113983354859,9.10870606219427e-12,2.13498127153213e-08,-1
"ENSG00000130222","GADD45G",-3.74605981909414,5.63479514628272,45.4786065386705,1.54315168484767e-11,2.90061078361867e-08,-1
"ENSG00000168878","SFTPB",-5.59313336759222,10.3738100713428,45.1263921926562,1.84719113006472e-11,3.12489323473048e-08,-1
"ENSG00000172137","CALB2",2.28322576718024,3.05422040964142,44.239514735676,2.90556536208683e-11,4.46849538458389e-08,1
"ENSG00000160180","TFF3",-5.01207541299614,1.78197077173009,43.7382907229379,3.75355553111837e-11,4.53563563713782e-08,-1
"ENSG00000181577","C6orf223",-2.00206591067214,4.56529274047843,43.8620365674757,3.52357520883622e-11,4.53563563713782e-08,-1
"ENSG00000187193","MT1X",-4.6246910114015,5.0698903613786,43.8400003616154,3.56347142169462e-11,4.53563563713782e-08,-1
"ENSG00000204624","DISP3",-3.86499360850872,3.82202931031576,42.8329360438956,5.96198731171838e-11,6.72392929015599e-08,-1
"ENSG00000166736","HTR3A",-5.26154206378056,3.04186855929955,40.7747505592892,1.70826077950837e-10,1.75042482447813e-07,-1
"ENSG00000167772","ANGPTL4",-2.77400656057247,6.56012902225393,40.7175388235177,1.7590129465111e-10,1.75042482447813e-07,-1
"ENSG00000124731","TREM1",-2.38664903559209,5.68795603360002,39.8810546281048,2.69908527632285e-10,2.53669031219742e-07,-1
"ENSG00000143845","ETNK2",-4.90971212020111,4.73304236145193,38.585896118731,5.23961858103544e-10,4.66519092291456e-07,-1
"ENSG00000168484","SFTPC",-5.79438563106741,2.58613576729596,38.366558586599,5.86285028176733e-10,4.95909191083289e-07,-1
"ENSG00000109906","ZBTB16",-8.10300325760843,3.29700866715633,37.9772500398418,7.15743695582408e-10,5.50374368098527e-07,-1
"ENSG00000168447","SCNN1B",-4.04322509326974,7.20528560466876,38.0266609595549,6.9784497894923e-10,5.50374368098527e-07,-1
"ENSG00000197299","BLM",1.69321466121122,4.89915508189341,37.8870131604903,7.49625898882609e-10,5.51366144843352e-07,1
"ENSG00000130707","ASS1",-2.01010647308194,6.57179597849657,37.7402071360069,8.08214295695785e-10,5.69690051678567e-07,-1
"ENSG00000231873","",-8.15745525211141,2.27889469153167,37.5049995368476,9.11789681121214e-10,6.16989841421103e-07,-1
"ENSG00000171476","HOPX",-3.27722268526239,10.1152269560941,36.5663326454214,1.47558397720754e-09,9.60094390093072e-07,-1
"ENSG00000140525","FANCI",1.63510230023571,5.79859059436988,36.3062021789591,1.68626381527522e-09,1.056537961593e-06,1
"ENSG00000166741","NNMT",-3.20144284959585,2.53479590101352,35.8264494810171,2.15699635147019e-09,1.28855222733199e-06,-1
"ENSG00000265527","MIR5690",-8.58397770611225,1.66849362488754,35.7801208007585,2.20890315024104e-09,1.28855222733199e-06,-1
"ENSG00000217083","MTCO2P33",-6.93066619820157,1.50686086620955,35.2346583593969,2.92275477177007e-09,1.64814141580114e-06,-1
"ENSG00000092607","TBX15",-4.90339455067593,1.52027030649969,34.7551652853142,3.73885396310357e-09,2.04032879012332e-06,-1
"ENSG00000152463","OLAH",-6.21202042523137,2.79853118611748,34.2310162380193,4.89426520581021e-09,2.5873838902091e-06,-1
"ENSG00000238001","SNRPCP1",3.08782341100066,0.290634186281148,34.0860849195129,5.2726976886834e-09,2.70297656968052e-06,1
"ENSG00000119969","HELLS",2.07466042454586,5.30713568827765,33.6887523707889,6.46735531896857e-09,3.21008805554778e-06,1
"ENSG00000263391",NA,-6.18626759041334,2.19329529414047,33.6370869110764,6.64143062860864e-09,3.21008805554778e-06,-1
"ENSG00000074416","MGLL",-2.23428198499457,7.26719915865602,33.5205892788776,7.05135855027934e-09,3.31355090541877e-06,-1
"ENSG00000127530","OR7C1",-7.70447885168702,1.55746163287001,33.1836286212408,8.38535563569409e-09,3.83392057537938e-06,-1
"ENSG00000203363","GPR160P1",-6.91852411606792,1.10495246267545,32.8534727425257,9.93733926477867e-09,4.42394653532265e-06,-1
"ENSG00000227066","",1.8419031370031,6.79998139579858,32.4793277715588,1.20467165873501e-08,5.22549498738977e-06,1
"ENSG00000196260","SFTA2",-2.02124919591252,7.27510749906188,32.2005890950727,1.39048589791979e-08,5.88071248377726e-06,-1
"ENSG00000224650","IGHV3-74",-6.30228982553291,0.290862012778081,32.0998795493137,1.46446393818024e-08,6.04252108346224e-06,-1
"ENSG00000115687","PASK",1.74856761217228,5.49015191208925,31.9523600351294,1.58000296530287e-08,6.12230365192715e-06,1
