"ensembl_gene_id","hgnc_symbol","logFC","logCPM","LR","PValue","FDR","1*H441_SUB -1*SALI"
"ENSG00000168878","SFTPB",-8.85002283580799,10.3565541554218,86.0391240964024,1.76410694784948e-20,2.43482040942186e-16,-1
"ENSG00000168961","LGALS9",2.73681476423472,4.54668785152384,77.6920927996407,1.20422463438334e-18,8.3103542018794e-15,1
"ENSG00000142623","PADI1",4.40926500889903,2.54764236261368,66.3534871223695,3.7689152636889e-16,1.73395228231448e-12,1
"ENSG00000170298","LGALS9B",3.29593771847425,4.27987066243814,57.7741923223594,2.94001833149987e-14,1.01445332528403e-10,1
"ENSG00000205403","CFI",3.88919882701281,5.56431399226012,56.8983007150378,4.58942238675025e-14,1.09207154659015e-10,1
"ENSG00000255346","NOX5",5.4917148564075,3.79938487597678,56.8317269429113,4.74744912298282e-14,1.09207154659015e-10,1
"ENSG00000108821","COL1A1",1.68839178085564,6.82856355253297,53.2754491583713,2.89907213043901e-13,5.71614193490274e-10,1
"ENSG00000108950","FAM20A",4.38108217773172,5.66379860244599,52.3474853056959,4.6499362848532e-13,8.02230257544299e-10,1
"ENSG00000157110","RBPMS",2.67194174197888,6.06866424004534,51.8562011895425,5.97177709081565e-13,9.15805193415974e-10,1
"ENSG00000230937","MIR205HG",4.32434552207433,5.04816690749023,49.8973835831228,1.62000537796211e-12,2.2359314226633e-09,1
"ENSG00000050438","SLC4A8",3.15266997102102,4.13181913862931,48.1598276930269,3.92855004619091e-12,4.92925888522973e-09,1
"ENSG00000130707","ASS1",-2.12019963888874,6.56844653681383,45.3526930402172,1.64561573672557e-11,1.89273236652386e-08,-1
"ENSG00000141068","KSR1",1.98434478720519,3.97781447129581,45.1012737505239,1.87103663533373e-11,1.98646520314432e-08,1
"ENSG00000175170","FAM182B",2.25390123428886,3.18017156374805,44.670165594264,2.33183525736308e-11,2.29885644443752e-08,1
"ENSG00000064787","BCAS1",1.9270055996506,5.6587217702986,44.4468344234177,2.61359235846379e-11,2.40485344876782e-08,1
"ENSG00000168874","ATOH8",-3.85609347315665,1.57883603270795,42.3748174016832,7.53540604689595e-11,6.50022964120362e-08,-1
"ENSG00000127838","PNKD",-1.60614819670451,6.87141986874184,41.155058933801,1.40618830779138e-10,1.14165947200804e-07,-1
"ENSG00000171992","SYNPO",-3.21896321709427,3.12846902719319,41.0073119940721,1.5166075415365e-10,1.15229880039565e-07,-1
"ENSG00000249942","",4.90259555281087,1.60427555984449,40.9195440341823,1.58626845439192e-10,1.15229880039565e-07,1
"ENSG00000184584","STING1",1.81268123705168,7.3017101176156,40.4017794053271,2.06752715671302e-10,1.42680049084766e-07,1
"ENSG00000125354","SEPTIN6",1.98028673792229,4.61971963252257,39.839605254692,2.7569754826791e-10,1.81117576131085e-07,1
"ENSG00000161798","AQP5",4.40017626641018,2.33519021448598,39.7496230377901,2.88696324799585e-10,1.81117576131085e-07,1
"ENSG00000104368","PLAT",7.04434784598346,8.55429174240734,39.5041407663933,3.27364531882352e-10,1.88261886210009e-07,1
"ENSG00000162949","CAPN13",1.9199742472284,4.57996902498212,39.515094984679,3.25533330528738e-10,1.88261886210009e-07,1
"ENSG00000198691","ABCA4",4.7841926085601,7.23737217190634,38.8268409930168,4.63115848922761e-10,2.55676997873278e-07,1
"ENSG00000062282","DGAT2",-1.95818683130861,3.61392318460087,37.9691422337048,7.18724272871135e-10,3.81532015929516e-07,-1
"ENSG00000257732","",4.31800568053067,4.96614193977201,37.6180683558075,8.604375068743e-10,4.39842906291818e-07,1
"ENSG00000171346","KRT15",1.36513729834035,8.5217244954262,36.5066671819252,1.52144951459755e-09,7.49965935731265e-07,1
"ENSG00000182866","LCK",4.31741203408026,3.89546019170817,36.1834135443162,1.79592613622992e-09,8.43399137326127e-07,1
"ENSG00000246203","",2.09627792682382,3.55086043918032,36.143370531567,1.83321070278103e-09,8.43399137326127e-07,1
"ENSG00000088340","FER1L4",2.88460968632283,8.80830438978786,35.8719732575486,2.10718123768609e-09,9.0885360757948e-07,1
"ENSG00000255248","MIR100HG",2.74764480569149,4.54970953817319,35.8780575900881,2.1006112203e-09,9.0885360757948e-07,1
"ENSG00000058335","RASGRF1",2.89816074319978,3.12814971077571,35.4419105419151,2.62771453950604e-09,1.03622045926464e-06,1
"ENSG00000160180","TFF3",-3.28427207997631,1.78307583083785,35.5326777694301,2.50807516395055e-09,1.03622045926464e-06,-1
"ENSG00000185303","SFTPA2",4.69526124962725,10.7430067412186,35.4555663847506,2.60935620308073e-09,1.03622045926464e-06,1
"ENSG00000122852","SFTPA1",4.85358805522425,10.0554742785555,35.1475380163007,3.0564758056202e-09,1.14014808295054e-06,1
"ENSG00000147041","SYTL5",2.59420444726001,4.96157524531744,35.1546355620746,3.04535624522235e-09,1.14014808295054e-06,1
"ENSG00000172137","CALB2",2.21839014467779,3.04796303849626,34.9019736661862,3.46729217110073e-09,1.25935701435611e-06,1
"ENSG00000132704","FCRL2",6.40453962182991,2.55144411087855,34.7717918586859,3.70705894524362e-09,1.31191865544237e-06,1
"ENSG00000130775","THEMIS2",-1.48829644223497,5.29074392820214,34.7061708245905,3.83414306774257e-09,1.32297106552457e-06,-1
"ENSG00000168484","SFTPC",-4.78853259325002,2.59746330479766,34.4932365631987,4.27735015248724e-09,1.40561873344354e-06,-1
"ENSG00000183914","DNAH2",2.70561429674952,6.46828353583752,34.5125152070976,4.23519444532183e-09,1.40561873344354e-06,1
"ENSG00000042980","ADAM28",2.68638550509615,4.68246491450105,34.3389767513105,4.63015420299687e-09,1.48617182115727e-06,1
"ENSG00000157657","ZNF618",2.96088372887999,5.04463462655591,33.8343614828893,6.00095343610609e-09,1.88238998466219e-06,1
"ENSG00000171916","LGALS9C",3.64248441327382,1.64999018418912,33.6902103477481,6.46250985188171e-09,1.98212357723714e-06,1
"ENSG00000102362","SYTL4",1.91191153472867,6.43730156883179,33.533093783384,7.00617089078635e-09,2.10215588336159e-06,1
"ENSG00000089692","LAG3",4.32763074904866,3.41879138698058,33.3344565776447,7.75955344286144e-09,2.27866716209305e-06,1
"ENSG00000226145","KRT16P6",3.56758119199422,3.40189336550382,33.0471513785718,8.99507413927507e-09,2.58645860979739e-06,1
"ENSG00000128567","PODXL",1.6979616860858,3.75723685545397,32.4079516152799,1.24974047229324e-08,3.52018734665128e-06,1
"ENSG00000132274","TRIM22",1.7515173526089,2.89367511144586,32.1751432490772,1.40881653904773e-08,3.88889717438736e-06,1
"ENSG00000099617","EFNA2",2.35219488021347,1.801282379825,31.9904035083691,1.54936082072407e-08,4.19299569561442e-06,1
"ENSG00000149927","DOC2A",2.01179721499984,6.1057357999018,31.8448255977931,1.66993950946976e-08,4.43240482878877e-06,1
"ENSG00000165181","SHOC1",3.34771079696297,5.07502301511347,31.6517325034419,1.84449973695613e-08,4.8033557300884e-06,1
"ENSG00000263368","",4.14111428611681,1.27471266988576,31.5858264998028,1.90817235592255e-08,4.8771471956376e-06,1
"ENSG00000176907","TCIM",-2.18717170102173,4.53658922804387,31.530240839622,1.9635829530981e-08,4.9275221670291e-06,-1
"ENSG00000174501","ANKRD36C",4.32689600517116,10.183136991563,31.372164694692,2.13012980783361e-08,5.2500092156642e-06,1
"ENSG00000102359","SRPX2",2.26726151762693,7.12204535932811,31.3139047234864,2.19501904688126e-08,5.31502682193951e-06,1
"ENSG00000228742","LINC02577",3.97385784231666,5.72701157724812,31.1206863290294,2.42473519289237e-08,5.77003364350009e-06,1
"ENSG00000141854","MISP3",-2.15195479692152,5.53308967104422,30.9568466420547,2.63829724049084e-08,6.17182686665333e-06,-1
"ENSG00000152766","ANKRD22",1.34472185605725,4.28888710368065,30.5794081635167,3.20477116668311e-08,7.37204194042671e-06,1
"ENSG00000163565","IFI16",1.62192859411474,6.75770383175195,29.9133398511959,4.51793748482163e-08,1.02223890435259e-05,1
"ENSG00000158246","TENT5B",-1.84511292146015,2.89600339469063,29.8198746807826,4.74106742864888e-08,1.05542278468084e-05,-1
"ENSG00000267352","SH3GL1P3",2.15181282855179,6.14959788282573,29.6890289771498,5.07210657439287e-08,1.11119388793286e-05,1
"ENSG00000099256","PRTFDC1",2.43561399556711,3.26372254113853,29.4968827854069,5.60067086773013e-08,1.20781967681893e-05,1
"ENSG00000257662","EIF4A1P12",5.08381738440505,0.263655666740007,29.4303822910375,5.79617984953438e-08,1.23075191205036e-05,1
"ENSG00000217083","MTCO2P33",-6.20795409318877,1.52760669382603,29.2857041473272,6.24547613209687e-08,1.3060615390182e-05,-1
"ENSG00000156299","TIAM1",2.48623558792237,5.24682357459722,29.2436782628546,6.38241179442361e-08,1.31477682965126e-05,1
"ENSG00000143226","FCGR2A",2.47489588522722,4.93273148685797,28.7414939911004,8.27124053322381e-08,1.67881855646404e-05,1
"ENSG00000196502","SULT1A1",1.22102658693498,5.20557268482904,28.6290342564477,8.76579387859806e-08,1.7534128567016e-05,1
"ENSG00000131018","SYNE1",2.06703035908355,4.32074041910229,28.5479184500875,9.14080422074062e-08,1.80230542649517e-05,1
"ENSG00000233539","",1.65865022973393,3.68276689620257,28.5069751324564,9.33615422522792e-08,1.81489578333233e-05,1
"ENSG00000248771","SMIM31",1.63588652037523,5.66541544824716,28.3304719561762,1.02273318310713e-07,1.96052269350619e-05,1
"ENSG00000129270",NA,-2.90995385540311,3.14090189902887,28.1033566734456,1.15006217862062e-07,2.17294085125094e-05,-1
"ENSG00000130222","GADD45G",-2.85399271578772,5.6677389949728,28.0783293008994,1.16503132149376e-07,2.17294085125094e-05,-1
"ENSG00000143847","PPFIA4",2.28811772067933,4.80845685175843,28.0251325319396,1.19750064797237e-07,2.20372052577528e-05,1
"ENSG00000184371","CSF1",-3.01136533429934,2.41976815734149,27.9653687167081,1.23506121514812e-07,2.24293616993084e-05,-1
"ENSG00000103534","TMC5",1.23586961361025,7.75979803965078,27.9359500857191,1.25398169446145e-07,2.24772147363077e-05,1
"ENSG00000231298","MANCR",3.26713843922928,2.43483548287269,27.8918929465293,1.28286150468701e-07,2.2700069856013e-05,1
"ENSG00000134668","SPOCD1",2.18195380374644,4.88491011239859,27.8485178331268,1.31194533178786e-07,2.29208474295393e-05,1
