"","cpm","rows","down","NotSig","up"
"174",0.75,9,496,12629,652
"175",0.75,10,501,12410,612
"176",0.75,11,499,12157,613
"177",0.75,12,497,11902,618
"178",0.75,13,482,11684,613
"179",0.75,14,478,11436,612
"180",0.75,15,474,11187,608
"181",0.8,1,427,19594,506
"182",0.8,2,419,16666,580
"183",0.8,3,449,15258,614
"184",0.8,4,470,14342,620
"185",0.8,5,493,13786,580
"186",0.8,6,484,13338,612
"187",0.8,7,503,12985,590
"188",0.8,8,495,12646,641
"189",0.8,9,501,12404,608
"190",0.8,10,502,12134,611
"191",0.8,11,499,11892,611
"192",0.8,12,492,11657,619
"193",0.8,13,481,11445,611
"194",0.8,14,467,11222,622
"195",0.8,15,472,10983,612
"196",0.85,1,410,18505,578
"197",0.85,2,459,16154,534
"198",0.85,3,452,14893,617
"199",0.85,4,475,14037,618
"200",0.85,5,489,13549,578
"201",0.85,6,502,13146,578
"202",0.85,7,488,12761,639
"203",0.85,8,502,12498,603
"204",0.85,9,504,12225,608
"205",0.85,10,505,11981,620
"206",0.85,11,497,11760,615
"207",0.85,12,492,11543,621
"208",0.85,13,482,11327,610
"209",0.85,14,474,11092,613
"210",0.85,15,469,10865,610
"211",0.9,1,433,18383,505
"212",0.9,2,431,15868,597
"213",0.9,3,455,14611,612
"214",0.9,4,486,13852,567
"215",0.9,5,484,13328,606
"216",0.9,6,504,12942,582
"217",0.9,7,504,12584,600
"218",0.9,8,503,12306,606
"219",0.9,9,502,12043,612
"220",0.9,10,501,11822,608
"221",0.9,11,494,11600,614
"222",0.9,12,491,11383,622
"223",0.9,13,481,11175,611
"224",0.9,14,477,10935,615
"225",0.9,15,463,10721,611
"226",0.95,1,410,18275,572
"227",0.95,2,432,15801,598
"228",0.95,3,459,14511,611
"229",0.95,4,489,13757,566
"230",0.95,5,499,13239,569
"231",0.95,6,491,12812,628
"232",0.95,7,502,12502,599
"233",0.95,8,505,12204,605
"234",0.95,9,504,11954,613
"235",0.95,10,498,11741,609
"236",0.95,11,497,11505,619
"237",0.95,12,493,11277,621
"238",0.95,13,483,11073,615
"239",0.95,14,476,10864,610
"240",0.95,15,470,10634,614
"241",1,1,413,17747,573
"242",1,2,445,15392,609
"243",1,3,469,14260,615
"244",1,4,492,13613,565
"245",1,5,502,13095,571
"246",1,6,492,12652,636
"247",1,7,505,12362,605
"248",1,8,502,12105,603
"249",1,9,503,11857,610
"250",1,10,494,11621,618
"251",1,11,494,11405,623
"252",1,12,482,11172,641
"253",1,13,483,11000,611
"254",1,14,474,10777,611
"255",1,15,472,10534,623
